,0,1,2,3,4,5,6,7,8,9,10,11
231,16411,Bedtime Stories,2008,7+,6.0,26%,0,0,0,1,Adam Shankman,99.0
232,16412,Cheaper by the Dozen,2003,7+,5.9,24%,0,0,0,1,Shawn Levy,98.0
233,16413,An Extremely Goofy Movie,2000,all,6.4,63%,0,0,0,1,Douglas McCarthy,79.0
234,16414,Twitches,2005,7+,5.7,60%,0,0,0,1,Stuart Gillard,86.0
235,16415,Iron Will,1994,7+,6.6,62%,0,0,0,1,Charles Haid,108.0
236,16416,Aladdin and the King of Thieves,1996,all,6.4,33%,0,0,0,1,Tad Stones,81.0
237,16417,Piglet's Big Movie,2003,all,6.1,70%,0,0,0,1,Francis Glebas,75.0
238,16418,Because of Winn-Dixie,2005,7+,6.3,55%,0,0,0,1,Wayne Wang,106.0
239,16419,Fun and Fancy Free,1947,all,6.6,67%,0,0,0,1,"Jack Kinney,Hamilton Luske,William Morgan,Bill Roberts",73.0
240,16420,Mickey's Once Upon a Christmas,1999,all,7.2,40%,0,0,0,1,"Jun Falkenstein,Alex Mann,Bradley Raymond,Toby Shelton,Bill Speers",66.0
241,16421,Deep Blue,2003,all,7.4,67%,0,0,0,1,Renny Harlin,105.0
242,16422,Red Tails,2012,13+,5.9,40%,0,0,0,1,Anthony Hemingway,125.0
243,16423,Lilo & Stitch 2: Stitch Has a Glitch,2005,7+,6.3,40%,0,0,0,1,"Michael LaBash,Tony Leondis",68.0
244,16424,Ruby Bridges,1998,7+,7.2,83%,0,0,0,1,Euzhan Palcy,96.0
245,16425,Doctor Dolittle,1998,13+,5.4,42%,0,0,0,1,Betty Thomas,85.0
246,16426,Brother Bear 2,2006,7+,6.2,50%,0,0,0,1,Ben Gluck,74.0
247,16427,Camp Rock 2: The Final Jam,2010,7+,5.2,63%,0,0,0,1,Paul Hoen,97.0
248,16428,Recess: School's Out,2001,all,6.6,60%,0,0,0,1,Chuck Sheetz,82.0
249,16429,The Adventures of Huck Finn,1993,7+,6.2,73%,0,0,0,1,Stephen Sommers,108.0
250,16430,Lemonade Mouth,2011,7+,6.9,,0,0,0,1,Patricia Riggen,103.0
251,16431,The Crimson Wing: Mystery of the Flamingos,2008,all,7.3,75%,0,0,0,1,"Matthew Aeberhard,Leander Ward",78.0
252,16432,Big Business,1988,7+,6.4,44%,0,0,0,1,Jim Abrahams,97.0
253,16433,Melody Time,1948,,6.4,80%,0,0,0,1,"Clyde Geronimi,Wilfred Jackson,Jack Kinney,Hamilton Luske",75.0
254,16434,Bambi II,2006,all,6.1,50%,0,0,0,1,Brian Pimental,75.0
255,16435,The Cheetah Girls,2003,all,4.8,71%,0,0,0,1,Oz Scott,100.0
256,16436,Hannah Montana: The Movie,2009,all,4.5,44%,0,0,0,1,Peter Chelsom,102.0
257,16437,Herbie Rides Again,1974,all,5.7,80%,0,0,0,1,Robert Stevenson,88.0
258,16438,Descendants 3,2019,all,6.7,78%,0,0,0,1,Kenny Ortega,106.0
259,16439,Olaf's Frozen Adventure,2017,all,5.5,57%,0,0,0,1,"Kevin Deters,Stevie Wermers",22.0
260,16440,The Apple Dumpling Gang,1975,all,6.5,56%,0,0,0,1,Norman Tokar,100.0
261,16441,Newsies: The Broadway Musical,2017,13+,8.5,,0,0,0,1,"Jeff Calhoun,Brett Sullivan",149.0
262,16442,101 Dalmatians II: Patch's London Adventure,2003,all,5.8,67%,0,0,0,1,"Jim Kammerud,Brian Smith",74.0
263,16443,Saludos Amigos,1942,,6.2,83%,0,0,0,1,"Wilfred Jackson,Jack Kinney,Hamilton Luske,Bill Roberts,Norman Ferguson",42.0
264,16444,Mighty Joe Young,1998,7+,5.6,55%,0,0,0,1,Ron Underwood,114.0
265,16445,Thumbelina,1994,all,6.3,30%,0,0,0,1,"Don Bluth,Gary Goldman",86.0
266,16446,The Lizzie McGuire Movie,2003,7+,5.5,41%,0,0,0,1,Jim Fall,94.0
267,16447,The Cat from Outer Space,1978,all,6.1,67%,0,0,0,1,Norman Tokar,104.0
268,16448,Rookie of the Year,1993,7+,6.0,35%,0,0,0,1,Daniel Stern,103.0
